target_x,target_y,target_z,iterations,final_err,success
0.5167,-0.1005,0.2785,19,6.540211764464844e-06,True
0.1484,-0.4869,0.213,20,5.3407933588687284e-06,True
0.2011,0.2528,0.6181,21,6.227720788528188e-06,True
0.3986,-0.1713,0.2333,19,7.049568694190832e-06,True
0.2176,0.3495,0.4714,20,9.85142237246584e-06,True
0.202,0.035,0.5058,19,9.246954919155366e-06,True
0.486,0.2133,0.3374,23,5.62057110242491e-06,True
0.0371,0.4021,0.2454,19,8.127362690429534e-06,True
0.2597,-0.3705,0.4827,21,5.588336595779977e-06,True
0.1379,-0.2619,0.302,20,5.364874927184715e-06,True
0.0406,0.3962,0.5396,19,8.791937319071205e-06,True
0.2705,-0.0259,0.5085,20,6.672457026011921e-06,True
0.2331,-0.0178,0.4454,19,8.928937288591684e-06,True
0.4837,-0.0968,0.2873,19,6.222296475927123e-06,True
0.4175,-0.2792,0.2891,20,6.327289609685778e-06,True
0.3733,-0.1377,0.5672,20,5.2117414318003196e-06,True
